         DATE   TIME  GT  WB  AT  IRT      P    RH  WS   WD        LAT        LON  COMP
0  04/03/2024  17:56  90  70  80  105  29.92  68.9  20  270  41.546497 -90.598999   180
1  04/04/2024  18:56  91  75  81  115  29.92  70.0  10  180  41.546497 -90.598999    90
2  04/05/2024  19:56  93  72  86  120  29.92  69.0   0   90  41.546497 -90.598999     0
3  04/06/2024  20:56  89  73  88  125  29.92  88.5  11    0  41.546497 -90.598999   270
4  04/07/2024  21:56  88  76  84  100  29.92  50.0  13   55  41.546497 -90.598999   315
5  04/08/2024  22:56  90  78  89  132  29.92  66.6  15   89  41.546497 -90.598999     5
6  04/09/2024  23:56  94  72  83   99  29.92  55.0  18  127  41.546497 -90.598999    37
7  04/10/2024   0:56  95  74  79  114  29.92  70.0   5  288  41.546497 -90.598999   198
8  04/11/2024   1:56  91  79  88  131  29.92  65.0   8  335  41.546497 -90.598999   245
9  04/12/2024   2:56  90  70  80  105  29.92  68.9   7  270  41.546497 -90.598999   180
